,Opening,Opening.1,Title,Production company,Cast and crew,Ref.,Unnamed: 6
68,MARCH,29,Ready Player One,Warner Bros. Pictures / Village Roadshow Pictures / Amblin Entertainment,"Steven Spielberg (director); Ernest Cline, Zak Penn (screenplay); Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Win Morisaki, Philip Zhao, Hannah John-Kamen",[70],
69,MARCH,30,Tyler Perry's Acrimony,Lionsgate / Tyler Perry Films,"Tyler Perry (director/screenplay); Taraji P. Henson, Lyriq Bent, Tika Sumpter",[71],
70,MARCH,30,God's Not Dead: A Light in Darkness,Pure Flix,"Michael Mason (director/screenplay); David A. R. White, John Corbett, Shane Harper, Benjamin Onyango, Ted McGinley, Jennifer Taylor, Tatum O'Neal, Shwayze, Cissy Houston",[72],
71,MARCH,30,Gemini,Neon,"Aaron Katz (director/screenplay); Lola Kirke, Zoë Kravitz, Greta Lee, Michelle Forbes, Nelson Franklin, Reeve Carney, Jessica Parker Kennedy, James Ransone, Ricki Lake, John Cho",[73],
72,MARCH,30,The Last Movie Star,A24,"Adam Rifkin (director/screenplay); Burt Reynolds, Ariel Winter, Clark Duke, Ellar Coltrane, Chevy Chase",[74],
73,APRIL,6,A Quiet Place,Paramount Pictures / Platinum Dunes / Sunday Night Productions,"John Krasinski (director/screenplay); Scott Beck, Bryan Woods (screenplay); John Krasinski, Emily Blunt, Millicent Simmonds, Noah Jupe",[75],
74,APRIL,6,Blockers,Universal Pictures / Good Universe / Point Grey Pictures,"Kay Cannon (director); Eben Russell, Jon Hurwitz, Hayden Schlossberg, Brian Kehoe, Jim Kehoe (screenplay); Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton, Graham Phillips, June Diane Raphael, Hannibal Buress, Sarayu Blue",[76],
75,APRIL,6,You Were Never Really Here,Amazon Studios,"Lynne Ramsay (director/screenplay); Joaquin Phoenix, Ekaterina Samsonov, Alex Manette, John Doman, Judith Roberts",[77],
76,APRIL,6,Chappaquiddick,Entertainment Studios,"John Curran (director); Taylor Allen, Andrew Logan (screenplay); Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Taylor Nichols",[78],
77,APRIL,6,Pandas,Warner Bros. Pictures / IMAX,"Drew Fellman, David Douglas (directors); Drew Fellman (screenplay); Kristen Bell",[79],
78,APRIL,6,Lean on Pete,A24,"Andrew Haigh (director/screenplay); Charlie Plummer, Chloë Sevigny, Travis Fimmel, Steve Buscemi",[80],
79,APRIL,6,The Miracle Season,LD Entertainment,"Sean McNamara (director); David Aaron Cohen, Elissa Matsueda (screenplay); Helen Hunt, William Hurt, Erin Moriarty, Danika Yarosh",[81],
80,APRIL,11,Beirut,Bleecker Street,"Brad Anderson (director); Tony Gilroy (screenplay); Jon Hamm, Rosamund Pike, Dean Norris, Shea Whigham, Larry Pine, Mark Pellegrino",[35],
81,APRIL,13,Rampage,Warner Bros. Pictures / New Line Cinema,"Brad Peyton (director); Ryan Engle (screenplay); Dwayne Johnson, Naomie Harris, Malin Åkerman, Jake Lacy, Marley Shelton, Joe Manganiello, Jeffrey Dean Morgan",[82],
82,APRIL,13,Truth or Dare,Universal Pictures / Blumhouse Productions,"Jeff Wadlow (director/screenplay); Michael Reisz, Chris Roach, Jillian Jacobs (screenplay); Lucy Hale, Tyler Posey, Violett Beane, Nolan Gerard Funk, Hayden Szeto, Sophia Taylor Ali",[83],
83,APRIL,13,The Rider,Sony Pictures Classics,Chloé Zhao (director/screenplay); Brady Jandreau,[84],
84,APRIL,13,Sgt. Stubby: An American Hero,Fun Academy Motion Pictures / Mikros Image,"Richard Lanni (director/screenplay); Mike Stokey (screenplay); Logan Lerman, Helena Bonham Carter, Gérard Depardieu",[85],
85,APRIL,20,I Feel Pretty,STX Entertainment,"Abby Kohn, Marc Silverstein (director/screenplay); Amy Schumer, Michelle Williams, Emily Ratajkowski, Rory Scovel",[86],
86,APRIL,20,Super Troopers 2,Fox Searchlight Pictures,"Jay Chandrasekhar (director); Broken Lizard (screenplay); Jay Chandrasekhar, Paul Soter, Steve Lemme, Erik Stolhanske, Kevin Heffernan",[87],
87,APRIL,20,Traffik,Summit Entertainment / Codeblack Films,"Deon Taylor (director/screenplay); Paula Patton, Omar Epps, Missi Pyle, William Fichtner, Roselyn Sanchez, Dawn Olivieri, Laz Alonso",[88],
88,APRIL,20,The House of Tomorrow,Shout! Studios,"Peter Livolsi (director/screenplay); Asa Butterfield, Nick Offerman, Ellen Burstyn, Alex Wolff, Maude Apatow",[89],
89,APRIL,21,Liz and the Blue Bird,Kyoto Animation,"Naoko Yamada (director); Reiko Yoshida (screenplay); Atsumi Tanezaki, Nao Tōyama",[90],
90,APRIL,27,Avengers: Infinity War,Marvel Studios,"Anthony Russo and Joe Russo (directors); Christopher Markus and Stephen McFeely (screenplay); Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldana, Pom Klementieff, Karen Gillan, Benedict Wong, Idris Elba, Peter Dinklage, Tom Hiddleston, Vin Diesel, Bradley Cooper, Gwyneth Paltrow, Benicio del Toro, Josh Brolin, Chris Pratt",[91],
91,APRIL,27,Disobedience,Bleecker Street,"Sebastián Lelio (director/screenplay); Rebecca Lenkiewicz (screenplay); Rachel Weisz, Rachel McAdams, Alessandro Nivola",[35],
92,APRIL,27,Backstabbing for Beginners,A24,"Per Fly (director); Daniel Pyne, Per Fly (screenplay); Ben Kingsley, Theo James, Jacqueline Bisset",[92],
93,APRIL,27,Kings,The Orchard,"Deniz Gamze Ergüven (director/screenplay); Halle Berry, Daniel Craig",[93],
94,MAY,4,Overboard,Metro-Goldwyn-Mayer / Lionsgate / Pantelion Films,"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",[88],
95,MAY,4,Tully,Focus Features / Bron Studios,"Jason Reitman (director); Diablo Cody (screenplay); Charlize Theron, Mackenzie Davis, Mark Duplass, Ron Livingston",[94],
96,MAY,4,Bad Samaritan,Electric Entertainment,"Dean Devlin (director); Brandon Boyce (screenplay); David Tennant, Robert Sheehan, Carlito Olivero, Kerry Condon, Jacqueline Byers",[95],
97,MAY,4,The Cleanse,Vertical Entertainment,"Bobby Miller (director/screenplay); Johnny Galecki, Anna Friel, Oliver Platt, Anjelica Huston",[96],
98,MAY,4,The Guardians,Music Box Films,Xavier Beauvois (director/screenplay); Nathalie Baye,[97],
99,MAY,11,Life of the Party,Warner Bros. Pictures / New Line Cinema,"Ben Falcone (director/screenplay); Melissa McCarthy (screenplay); Melissa McCarthy, Maya Rudolph, Molly Gordon, Julie Bowen, Gillian Jacobs, Debby Ryan, Matt Walsh, Jacki Weaver",[98],
100,MAY,11,Breaking In,Universal Pictures,"James McTeigue (director); Ryan Engle (screenplay); Gabrielle Union, Billy Burke, Richard Cabral, Seth Carr, Levi Meaden, Ajiona Alexus, Christa Miller",[99],
101,MAY,11,The Seagull,Sony Pictures Classics,"Michael Mayer (director); Stephen Karam (screenplay); Saoirse Ronan, Annette Bening, Corey Stoll, Billy Howle",[100],
102,MAY,11,Terminal,RLJE Films,"Vaughn Stein (director/screenplay); Margot Robbie, Simon Pegg, Dexter Fletcher, Max Irons, Mike Myers",[101],
103,MAY,11,Revenge,Neon,"Coralie Fargeat (director/screenplay); Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",[102],
104,MAY,18,Deadpool 2,20th Century Fox / Marvel Entertainment / TSG Entertainment,"David Leitch (director); Rhett Reese, Paul Wernick, Ryan Reynolds (screenplay); Ryan Reynolds, Josh Brolin, Zazie Beetz, Julian Dennison, Morena Baccarin, T. J. Miller, Brianna Hildebrand, Stefan Kapičić, Jack Kesy",[103],
105,MAY,18,Book Club,Paramount Pictures,"Bill Holderman (director/screenplay); Erin Simms (screenplay); Jane Fonda, Candice Bergen, Mary Steenburgen, Diane Keaton",[104],
106,MAY,18,First Reformed,A24,"Paul Schrader (director/screenplay); Ethan Hawke, Amanda Seyfried, Cedric Kyles",[105],
107,MAY,18,Pope Francis: A Man of His Word,Focus Features,Wim Wenders (director); Pope Francis,[106],
108,MAY,18,Show Dogs,Global Road Entertainment,"Raja Gosnell (director); Max Botkin (screenplay); Will Arnett, Natasha Lyonne, Ludacris, Stanley Tucci, Shaquille O'Neal, Gabriel Iglesias, Alan Cumming, Oliver Tompsett, Andy Beckwith",[107],
109,MAY,25,Solo: A Star Wars Story,Lucasfilm,"Ron Howard (director); Lawrence Kasdan, Jon Kasdan (screenplay); Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandie Newton, Phoebe Waller-Bridge, Joonas Suotamo, Paul Bettany",[108],
110,MAY,25,How to Talk to Girls at Parties,A24,"John Cameron Mitchell (director); Philippa Goslett, John Cameron Mitchell (screenplay); Elle Fanning, Alex Sharp, Nicole Kidman, Ruth Wilson, Matt Lucas",[109],
111,MAY,25,In Darkness,Vertical Entertainment,"Anthony Byrne (director); Anthony Byrne, Natalie Dormer (screenplay); Natalie Dormer, Emily Ratajkowski, Ed Skrein, Joely Richardson, Neil Maskell, James Cosmo, Jan Bijvoet",[110],
112,MAY,25,The Misandrists,Cartilage Films,"Bruce LaBruce (director); Bruce LaBruce (screenplay); Susanne Sachße, Viva Ruiz, Kembra Pfahler, Caprice Crawford, Grete Gehrke",[111],
113,MAY,25,Future World,Lionsgate Premiere,"James Franco, Bruce Thierry Cheung (director); Bruce Thierry Cheung, Jeremy Cheung, Jay Davis (screenplay); James Franco, Suki Waterhouse, Jeffrey Wahlberg, Margarita Levieva, Snoop Dogg, George Lewis Jr., Method Man, Lucy Liu, Milla Jovovich",[112],
114,JUNE,1,Action Point,Paramount Pictures,"Tim Kirkby (director); Johnny Knoxville (screenplay); Johnny Knoxville, Chris Pontius",[113],
115,JUNE,1,Adrift,STX Entertainment,"Baltasar Kormákur (director); Aaron Kandell, Jordan Kandell, David Branson Smith (screenplay); Shailene Woodley, Sam Claflin",[114],
116,JUNE,1,Upgrade,BH Tilt,"Leigh Whannell (director/screenplay); Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson, Melanie Vallejo, Benedict Hardie, Linda Cropper, Simon Maiden",[115],
117,JUNE,1,American Animals,The Orchard / MoviePass Ventures,"Bart Layton (director/screenplay); Evan Peters, Barry Keoghan, Blake Jenner, Jared Abrahamson, Udo Kier, Ann Dowd",[116],
118,JUNE,1,Social Animals,Vertical Entertainment,"Theresa Bennett (director/screenplay); Noël Wells, Josh Radnor, Aya Cash, Carly Chaikin, Fortune Feimster, Samira Wiley",[117],
119,JUNE,8,Ocean's 8,Warner Bros. Pictures / Village Roadshow Pictures,"Gary Ross (director/screenplay); Olivia Milch (screenplay); Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling, Sarah Paulson, Awkwafina, Rihanna, Helena Bonham Carter",[118],
120,JUNE,8,Won't You Be My Neighbor?,Focus Features,Morgan Neville (director); Fred Rogers,[119],
121,JUNE,8,Hereditary,A24,"Ari Aster (director/screenplay); Toni Collette, Alex Wolff, Milly Shapiro, Ann Dowd, Gabriel Byrne",[120],
122,JUNE,8,Hotel Artemis,Global Road Entertainment,"Drew Pearce (director/screenplay); Jodie Foster, Sterling K. Brown, Sofia Boutella, Jeff Goldblum, Dave Bautista, Brian Tyree Henry, Jenny Slate, Zachary Quinto, Charlie Day",[121],
123,JUNE,13,Superfly,Columbia Pictures,"Director X (director); Alex Tse (screenplay); Trevor Jackson, Jason Mitchell, Michael K. Williams, Esai Morales",[122],
