,Opening,Opening.1,Title,Genre,Director,Cast,Source,Unnamed: 7
61,JUL,10,I Love NY,Romance/drama,Radhika Rao,"Sunny Deol, Kangana Ranaut",[86][87],
62,JUL,10,Thoda Lutf Thoda Ishq,Romance/drama,Sachin Gupta,"Hiten Tejwani, Sanjay Mishra",[87][86],
63,JUL,17,Bajrangi Bhaijaan,"Action, comedy, drama",Kabir Khan,"Salman Khan, Kareena Kapoor, Nawazuddin Siddiqui, Harshaali Malhotra",[88][89],
64,JUL,24,Aisa Yeh Jahaan,Drama,Biswajeet Bora,"Palash Sen, Ira Dubey, Kymsleen Kholie, Yashpal Sharma",[90],
65,JUL,24,Masaan,Drama,Neeraj Ghaywan,"Richa Chadha, Vicky Kaushal, Sanjay Mishra, Shweta Tripathi",[91],
66,JUL,31,Drishyam,Drama/thriller,Nishikant Kamat,"Ajay Devgn, Tabu, Shriya Saran, Rajat Kapoor",[92][93],
67,AUG,7,Bangistan,Comedy,Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat",[94],
68,AUG,14,Brothers,Drama,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jacqueline Fernandez, Jackie Shroff, Conan Stevens",[95][96][97],
69,AUG,14,Gour Hari Dastaan,Drama,Ananth Narayan Mahadevan,"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee",[98],
70,AUG,21,All Is Well,Drama,Umesh Shukla,"Abhishek Bachchan, Asin Thottumkal, Rishi Kapoor, Supriya Pathak",[99],
71,AUG,21,Manjhi – The Mountain Man,Drama,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte",[100],
