,Opening,Opening.1,Title,Genre,Director,Cast
84,OCT,12,Login,Drama/Thriller,Sanjeev Reddy,"Himansu Bhatt, Radhika Roy, Akkash Basant, Rashmi Gautam, Nandini Rai[71]"
85,OCT,12,Chittagong,Drama,Bedabrata Pain,"Manoj Bajpai, Vega Tamotia, Nawazuddin Siddiqui, Barry John[72]"
86,OCT,12,Delhi Safari,Computer Animated,Nikhil Advani,"Voice-over by Akshaye Khanna, Suniel Shetty, Urmila Matondkar, Boman Irani, Govinda, Swini Khara[73]"
87,OCT,12,Bhoot Returns,Horror,Ram Gopal Verma,"Manisha Koirala, J. D. Chakravarthy[74]"
88,OCT,19,Student of the Year,Romance/Comedy,Karan Johar,"Sidharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor[75]"
89,OCT,24,Chakravyuh,Political Thriller,Prakash Jha,"Arjun Rampal, Abhay Deol, Esha Gupta, Manoj Bajpai, Kabir Bedi[76]"
90,OCT,26,Ajab Gazabb Love,Comedy,Sanjay Gadhvi,"Jackky Bhagnani, Nidhi Subbaiah, Arjun Rampal, Darshan Jariwala, Kirron Kher[77]"
91,OCT,26,Rush,Thriller/Crime,"Shamin Desai, Priyanka Desai","Emraan Hashmi, Neha Dhupia, Sagarika Ghatge, Aditya Pancholi[78]"
92,NOV,2,Luv Shuv Tey Chicken Khurana,Comedy,Sameer Sharma,"Kunal Kapoor, Huma Qureshi[79]"
93,NOV,2,1920: The Evil Returns,Horror,Bhushan Patel,"Aftab Shivdasani, Tia Bajpai, Vidya Malvade[80]"
94,NOV,2,Ata Pata Laapata,Musical Comedy,Rajpal Yadav,"Rajpal Yadav, Ashutosh Rana, Asrani[81]"
95,NOV,2,Sons of Ram,Animation/Drama/Children,Kushal Ruia,"Voice over by Sunidhi Chauhan, Aditya Kapadia, Devansh Doshi, Saptharishi Ghosh[82]"
96,NOV,2,Future To Bright Hai Ji,Drama,Sanjay Amar,"Aamir Bashir, Sonal Sehgal, Satish Kaushik[83]"
97,NOV,13,Jab Tak Hai Jaan,Romance/Drama,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma[84]"
98,NOV,13,Son Of Sardaar,Comedy,Ashwni Dhir,"Ajay Devgn, Sonakshi Sinha, Sanjay Dutt, Juhi Chawla[85]"
99,NOV,30,Talaash: The Answer Lies Within,Drama/Suspense,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Rajkumar Rao[86]"
100,DEC,7,Khiladi 786,Action/Comedy,Ashish R Mohan,"Akshay Kumar, Asin Thottumkal, Mithun Chakraborty, Raj Babbar, Himesh Reshammiya, Paresh Rawal[87]"
101,DEC,12,The Last Act,Anthology,12 directors,Saurabh Shukla[88]
102,DEC,14,Cigarette Ki Tarah,Drama/Thriller,Akashaditya Lama,"Bhoop Yaduvanshi, Prashant Narayanan, Madhurima Tuli, Sudesh Berry[89]"
103,DEC,21,Dabangg 2,Action/Comedy,Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Arbaaz Khan, Prakash Raj, Vinod Khanna[90]"
