,Opening,Opening.1,Title,Genre,Director,Cast,Source
22,FEB,21.0,Pyar Ka Live Show,Drama,Shailendra Singh Rajput,"Ishrat Ali, Rudraksh Pundhir, Rajni Mehta, Upasana Singh, Mushtaq Khan, Adi Irani, Shiva Rindan",[34]
23,FEB,21.0,The Dark Secrets Of Tonhi,Drama/Action,Shiraz Henry,"Natasha Sikka, J. Brandon Hill, Alex Peters, Smitha Siah, Priyanka Joshi",[35]
24,FEB,28.0,Anuradha,Drama,Raju Mavani,"Sachin Khedekar, Smita Jaykar, Disha Choudhary, Shagun Sharma, Rahul Jain, Manoj Joshi, Kishori Shahane, Hrishitaa Bhatt, Aakash Sharma, Raju Mavani, Ganesh Acharya, Manoj Tiwari, Prashant Upadhyay",[36]
25,FEB,28.0,Shaadi Ke Side Effects,Romance/Comedy,Saket Chaudhary,"Farhan Akhtar, Vidya Balan, Vir Das, Ram Kapoor, Gautami Kapoor, Purab Kohli, Rati Agnihotri",[37]
26,MAR,7.0,Gulaab Gang,Social/Action,Soumik Sen,"Madhuri Dixit, Juhi Chawla",[38]
27,MAR,7.0,Queen,Romance/Drama,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",[39]
28,MAR,7.0,Total Siyapaa,Drama/Comedy,E Niwas,"Ali Zafar, Yami Gautam, Sara Khan, Anupam Kher, Kiron Kher",[40]
29,MAR,14.0,Bewakoofiyaan,Romance,Nupur Asthana,"Ayushmann Khurrana, Sonam Kapoor, Rishi Kapoor",[41]
30,MAR,14.0,Neighbours,Horror,Shyam Ramsay,"Arbaaz Ali Khan, Roushika Reikhi, Shakti Kapoor, Gavie Chahal, Rufy Khan, Hritu Dudani, Kirti Vaidhya, Prince Sodhi, Sunny Singh",[42]
31,MAR,14.0,W,Thriller,Tarun Madan Chopra,"Danish Pandor, Raaj Singh Arora, Leslie Tripathy, Sonal Giani, Meer Ali, Abhey Attri",[43]
32,MAR,21.0,Ankhon Dekhi,Comedy,Rajat Kapoor,"Sanjay Mishra, Rajat Kapoor, Samit Das, Brijendra Kala",[44]
33,MAR,21.0,Gang of Ghosts,Horror Comedy,Satish Kaushik,"Parambrata Chatterjee, Sharman Joshi, Mahie Gill, Anupam Kher, Meera Chopra, Saurabh Shukla, Chunky Pandey",[45]
34,MAR,21.0,Lakshmi,Drama,Nagesh Kukunoor,"Monali Thakur, Satish Kaushik, Shefali Shetty, Ram Kapoor",[46]
35,MAR,21.0,Ragini MMS 2,Horror/Adult,Bhushan Patel,"Sunny Leone, Parvin Dabas, Divya Dutta",[47]
36,MAR,28.0,Dishkiyaoon,Action,Sanamjit Talwar,"Sunny Deol, Harman Baweja, Ayesha Khanna, Prashant Narayanan",[48]
37,MAR,28.0,O Teri,Comedy,Umesh Bist,"Pulkit Samrat, Sarah-Jane Dias, Bilal Amrohi, Anupam Kher, Mandira Bedi, Vijay Raaz, Manoj Pahwa",[49]
38,MAR,28.0,Station,Thriller,Saad Khan,"Sameer Kevin Roy, Kanika Batra, Vibhinta Verma, Siddhanth Sundar",[50][51]
39,MAR,28.0,Youngistaan,Drama,Syed Ahmad Afzal,"Jackky Bhagnani, Neha Sharma, Farooq Shaikh, Boman Irani",[52]
40,APR,4.0,Ebn-E-Batuta,Sci-fi/Comedy,Varun Middha,"Omkar Das Manikpuri, Rajeev Verma, Dev Gohar, Satyendra Khare, Nazea Sayed, Neelam Singh",[53]
41,APR,4.0,Honour Killing,Social,Avtar Bhogal,"Zara Sheikh, Sandeep Singh, Tom Alter, Gulshan Grover, Prem Chopra",[54]
42,APR,4.0,Jal,Drama/Fantasy,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma",[55]
43,APR,4.0,Main Tera Hero,Comedy,David Dhawan,"Varun Dhawan, Ileana D'Cruz, Nargis Fakhri, Abhimanyu Singh, Evelyn Sharma",[56]
44,APR,11.0,Bhoothnath Returns,Fantasy/Children,Nitesh Tiwari,"Amitabh Bachchan, Parth Bhalerao, Boman Irani, Anurag Kashyap, Usha Jadhav",[57]
45,APR,18.0,2 States,Romance,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Ronit Roy",[58]
46,APR,18.0,Dekh Tamasha Dekh,Comedy,Feroz Abbas Khan,"Satish Kaushik, Ganesh Yadav",[59]
47,APR,18.0,Lucky Kabootar,Romance/Comedy,Shammi Chhabra,"Ravi Kishan, Eijaz Khan, Kulraj Randhawa, Shraddha Das, Sanjay Mishra, Madhavi Sharma",[60]
48,APR,25.0,Kaanchi: The Unbreakable,Musical/Drama,Subhash Ghai,"Mishti, Kartik Aaryan, Rishi Kapoor, Mithun Chakraborty",[61]
49,APR,25.0,Revolver Rani,Drama,Sai Kabir,"Kangana Ranaut, Vir Das, Piyush Mishra, Zakir Hussain",[62]
50,APR,25.0,Samrat & Co.,Mystery/Thriller/Drama,Kaushik Ghatak,"Rajeev Khandelwal, Madalasa Sharma",[63]
51,MAY,2.0,Purani Jeans,Romance/Drama,Tanushri Chattrji Bassu,"Tanuj Virwani, Aditya Seal, Izabelle Leite, Sarika, Rati Agnihotri",[64]
52,MAY,2.0,Kya Dilli Kya Lahore,Social,Vijay Raaz,"Vijay Raaz, Manu Rishi, Raj Zutshi, Vishwajeet Pradhan",[65]
53,MAY,2.0,Angry Young Man,Action,Ramesh Rout,"Ajay Sinh Rathod, Prachi Sinha",[66]
54,MAY,2.0,Kahin Hai Mera Pyar,Romance,Mahesh Vaijnath Doijode,"Abhishek Sethiya, Sonia Mann, Sanjay Kapoor, Jackie Shroff",[67]
55,MAY,9.0,Hawaa Hawaai,Drama,Amole Gupte,"Partho Gupte, Saqib Saleem, Pragya Yadav",[68]
56,MAY,9.0,Khwaabb,Romance/Drama,Zaid Ali Khan,"Navdip Singh, Simer Motiani, Nafisa Ali, Bajrang Bali Singh",[69]
57,MAY,9.0,Koyelaanchal,Action,Ashu Trikha,"Vinod Khanna, Suniel Shetty, Vipino",[70]
58,MAY,9.0,Manjunath,Drama,Sandeep A. Varma,"Divya Dutta, Seema Biswas, Asif Basra, Yashpal Sharma",[71]
59,MAY,9.0,Mastram,Adult,Akhilesh Jaiswal,"Rahul Bagga, Tara Alisha Berry",[72]
60,MAY,9.0,Yeh Hai Bakrapur,Comedy,Janaki Vishwanathan,"Anshuman Jha, Asif Basra, Amit Sial, Uttkarsh Majumdar, Faiz Mohammad, Suruchi Aulakh, Yaushika Verma, Shamim Khan",[73]
61,MAY,16.0,The Xposé,Thriller,Ananth Narayan Mahadevan,"Himesh Reshammiya, Sonali Raut, Yo Yo Honey Singh, Zoya Afroz, Irrfan Khan. Adil Hussain",[74]
62,MAY,16.0,Children of War,Drama,Mrityunjay Devvrat,"Farooq Shaikh, Victor Banerjee, Pawan Malhotra, Indraneil Sengupta",[75]
63,MAY,16.0,M3 - Midsummer Midnight Mumbai,Mystery,Braj Bhushan,"Paras Chhabra, Sara Khan, M.A. Guddu, Pooja Thakur",[76]
64,MAY,23.0,Heropanti,Romance/Action,Sabbir Khan,"Tiger Shroff, Kriti Sanon & Prakash Raj",[77]
65,MAY,30.0,CityLights,Drama,Hansal Mehta,"Rajkummar Rao, Patralekha",[78]
66,MAY,30.0,Kuku Mathur Ki Jhand Ho Gayi,Comedy,Aman Sachdeva,"Siddharth Gupta, Simran Kaur Mundi, Pallavi Batra",[79]
67,JUN,6.0,Filmistaan,Comedy,Nitin Kakkar,"Sharib Hashmi, Inaamulhaq, Kumud Mishra, Gopal Dutt",[80]
68,JUN,6.0,Holiday: A Soldier Is Never Off Duty,Action/Thriller,A.R. Murugadoss,"Akshay Kumar, Sonakshi Sinha, Govinda",[81]
69,JUN,13.0,Fugly,Comedy/Drama,Kabir Sadanand,"Jimmy Sheirgill, Mohit Marwah, Kiara Advani, Vijender Singh, Arfi Lamba",[82]
70,JUN,13.0,Machhli Jal Ki Rani Hai,Horror,Debaloy Dey,"Bhanu Uday, Swara Bhaskar, Murali Sharma, Reema Debnath, Sakha Kalyani Deepraj Rana",[83]
71,JUN,20.0,Humshakals,Comedy/Drama/Romance,Sajid Khan,"Saif Ali Khan, Esha Gupta, Riteish Deshmukh, Bipasha Basu, Ram Kapoor, Tamannaah Bhatia",[84]
72,JUN,27.0,Ek Villain,Romance/Thriller,Mohit Suri,"Sidharth Malhotra, Riteish Deshmukh, Shraddha Kapoor, Aamna Sharif",[85]
73,JUN,,,,,,
74,JUN,,,,,,
75,JUN,,,,,,
76,JUN,,,,,,
77,JUN,,,,,,
78,JUN,,,,,,
79,JUN,,,,,,
80,JUN,,,,,,
81,JUN,,,,,,
82,JUN,,,,,,
83,JUL,4.0,Bobby Jasoos,Comedy/Drama,Samar Shaikh,"Vidya Balan, Ali Fazal, Arjan Bajwa, Anupriya Kapoor, Supriya Pathak, Tanvi Azmi",[86]
84,JUL,4.0,Lekar Hum Deewana Dil,Romance/Comedy,Arif Ali,"Armaan Jain, Deeksha Seth, Nikita Dutta",[87]
85,JUL,11.0,Humpty Sharma Ki Dulhania,Romance/Comedy,Shashank Khaitan,"Varun Dhawan, Alia Bhatt, Sidharth Shukla",[88]
86,JUL,18.0,Hate Story 2,Thriller,Vishal Pandya,"Surveen Chawla, Sushant Singh, Jay Bhanushali, Siddharth Kher, Rajesh Khera",[89]
87,JUL,18.0,Bazaar-E-Husn,Drama,Ajay Mehra,"Om Puri, Reshmi Ghosh, Yashpal Sharma, Jeet Goshwami",[90]
88,JUL,18.0,Riyasat,Drama/Action,Ashok Tyagi,"Rajesh Khanna, Aryaman Ramsay, Aryan Vaid, Raja Murad, Vishwajeet Pradhan",[91]
89,JUL,18.0,Amit Sahni Ki List,Romance/Comedy,Ajay Bhuyan,"Vir Das, Vega Tamotia, Anindita Nayar, Kavi Shastri",[92]
90,JUL,18.0,Pizza,Horror,Akshay Akkineni,"Akshay Oberoi, Parvathy Omanakuttan, Dipannita Sharma",[93]
91,JUL,25.0,Kick,Action/Comedy,Sajid Nadiadwala,"Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui, Randeep Hooda",[94]
92,AUG,8.0,Entertainment,Comedy,Sajid-Farhad,"Akshay Kumar, Tamannaah Bhatia, Prakash Raj, Sonu Sood, Mithun Chakraborty",[95]
93,AUG,15.0,Singham Returns,Action,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Amol Gupte, Anupam Kher",[96]
94,AUG,22.0,Life is Beautiful!,Romance,Manoj Amarnani,"Manoj Amarnani, Anokhi Dalvi, Nancy Brunetta, Parth Naik, Raj Zutshi",[97]
95,AUG,22.0,Mad About Dance,Dance,Saahil Prem,"Saahil Prem, Amrit Maghera",[98]
96,AUG,22.0,Mardaani,Drama/Action,Pradeep Sarkar,"Rani Mukerji, Tahir Raj Bhasin, Jisshu Sengupta",[99]
97,AUG,22.0,Mumbhai Connection,Comedy,Atlanta Nagendra,"Rafiq Batcha, Srinivas, Dick Mays, Alieesa Badresia",[100]
98,AUG,29.0,Raja Natwarlal,Thriller,Kunal Deshmukh,"Emraan Hashmi, Humaima Malick, Paresh Rawal, Deepak Tijori, Kay Kay Menon",[101]
99,SEP,5.0,Mary Kom,Drama,Omung Kumar,"Priyanka Chopra, Minakkshi Kalitaa, Zachary Coffin",[102]
100,SEP,12.0,Creature,Horror,Vikram Bhatt,"Bipasha Basu, Imran Abbas",[103]
101,SEP,12.0,Finding Fanny,Comedy/Drama,Homi Adajania,"Naseeruddin Shah, Dimple Kapadia, Pankaj Kapur, Deepika Padukone, Arjun Kapoor",[104]
102,SEP,19.0,Daawat-e-Ishq,Comedy/Drama,Habib Faisal,"Aditya Roy Kapur, Parineeti Chopra, Anupam Kher",[105]
103,SEP,19.0,Khoobsurat,Romance/Comedy,Shashanka Ghosh,"Sonam Kapoor, Fawad Khan, Kiron Kher, Ratna Pathak, Aamir Raza Hussain",[106]
104,SEP,26.0,3 A.M.,Horror,Vishal Mahadkar,"Rannvijay Singh, Anindita Nayar, Salil Acharya, Kavin Dave",[107]
105,SEP,26.0,Chaarfutiya Chhokare,Thriller,Manish Harishankar,"Soha Ali Khan, Seema Biswas, Zakir Hussain",[108]
106,SEP,26.0,Desi Kattey,Drama/Action,Anand Kumar,"Suniel Shetty, Akhil Kapur, Jay Bhanushali, Sasha Agha, Tia Bajpai",[109]
107,SEP,26.0,Meinu Ek Ladki Chaahiye,Social satire,Abhishek Bindal,"Raghuvir Yadav, Puru Chibber, Reecha Sinha, Zakir Hussain",[110]
108,SEP,26.0,Balwinder Singh Famous Ho Gaya,Comedy,Sunil Agnihotri,"Mika Singh, Shaan, Gabriela Bertante",[111]
109,OCT,2.0,Bang Bang!,Action/Romance,Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Javed Jaffrey",[112]
110,OCT,2.0,Haider,Drama,Vishal Bhardwaj,"Tabu, Shahid Kapoor, Shraddha Kapoor, Kay Kay Menon",[113]
111,OCT,2.0,Spark,Drama,V. K. Singh,"Rajniesh Duggal , Shubhashree Ganguly, Mansha Bahl",
112,OCT,10.0,Jigariyaa,Romance,Raj Purohit,"Harshvardhan Deo, Cherry Mardia, Virendra Saxena, K.K. Raina, Navni Parihar, Natasha Rastogi",
113,OCT,10.0,Ekkees Toppon Ki Salaami,Political Satire,Ravindra Gautam,"Anupam Kher, Neha Dhupia, Divyendu Sharma, Manu Rishi, Aditi Sharma",[114]
114,OCT,10.0,Tamanchey,Crime/Romance,Navneet Behal,"Nikhil Dwivedi, Richa Chadda",[115]
115,OCT,17.0,Mumbai 125 KM,Horror,Hemant Madhukar,"Veena Malik, Karanvir Bohra, Vedita Pratap Singh, Aparna Bajpai",[116]
116,OCT,17.0,Sonali Cable,Comedy/Drama,Charudutt Acharya,"Rhea Chakraborty, Ali Fazal, Raghav Juyal, Anupam Kher, Smita Jaykar",[117]
117,OCT,24.0,Happy New Year,Action/Comedy,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Sonu Sood, Boman Irani, Vivaan Shah, Jackie Shroff",[118]
118,OCT,31.0,Fireflies,Drama,Sabal Singh Sheikhawat,"Rahul Khanna, Monica Dogra, Arjun Mathur, Shivani Ghai, Aadya Bedi",[119]
119,OCT,31.0,Roar: Tigers of the Sundarbans,Drama/Action,Kamal Sadanah,"Abhinav Shukla, Varinder Singh Ghuman, Himarsha Venkatsamy, Achint Kaur, Nora Fatehi",[120]
120,OCT,31.0,Super Nani,Drama,Indra Kumar,"Rekha, Sharman Joshi, Randhir Kapoor, Shweta Kumar",[121]
121,NOV,7.0,Rang Rasiya,Drama,Ketan Mehta,"Randeep Hooda, Nandana Sen, Paresh Rawal, Ashish Vidyarthi, Sachin Khedekar",[122]
122,NOV,7.0,A Decent Arrangement,Drama,Sarovar Banka,"Shabana Azmi, Adam Laupus, Lethia Nall, Farid Currim, Shreya Sharma, Vikram Kapadia, Navniit Nisshan, Adhir Bhat",[123]
123,NOV,7.0,The Shaukeens,Comedy,Abhishek Sharma,"Akshay Kumar, Anupam Kher, Annu Kapoor, Lisa Haydon, Piyush Mishra",[124]
124,NOV,14.0,6 - 5 = 2,Found footage / Horror,Bharat Jain,"Prashanth Gupta, Niharica Raizada, Ashruth Jain, Gaurav Kothari, Disha Kapoor",[125]
125,NOV,14.0,Kill Dil,Romance/Drama,Shaad Ali,"Ranveer Singh, Parineeti Chopra, Ali Zafar, Govinda",[126]
126,NOV,21.0,Gollu Aur Pappu,Comedy,Kabir Sadanand,"Vir Das, Kunaal Roy Kapur, Shobhit Rana, Dimple Kapadia, Deepak Tijori",[127]
127,NOV,21.0,Happy Ending,Romance/Comedy,Raj Nidimoru and Krishna DK,"Saif Ali Khan, Ileana D'Cruz, Govinda, Ranvir Shorey, Kalki Koechlin",[128]
128,NOV,21.0,Titoo MBA,Romance/Comedy,Amit Vats,"Nishant Dahiya, Pragya Jaiswal, Abhishek Kumar",[129]
129,NOV,21.0,Wah Taj,Drama,Ajit Sinha,"Shreyas Talpade, Manjari Fadnis, Hemant Pandey, Rajesh Sharma, Vishwajeet Pradhan, Rakesh Shrivastav",[130]
130,NOV,28.0,Hum Hai Teen Khurafaati,Comedy,Rajeshwar Chauhan,"Heena Panchal, Mausam Sharma, Pranshu Kaushal, Shrey Chhabra, Vrajesh Hirjee, Hemant Pandey, Razzak Khan, Brijendra Kala, Manoj Bakshi",[131]
131,NOV,28.0,Ungli,Drama,Rensil D'Silva,"Emraan Hashmi, Randeep Hooda, Kangana Ranaut, Neil Bhoopalam, Angad Bedi, Sanjay Dutt",[132]
132,NOV,28.0,Zed Plus,Drama,Chandraprakash Dwivedi,"Adil Hussain, Mona Singh, Mukesh Tiwari, Sanjay Mishra, Kulbhushan Kharbanda, Rahul Singh, Shivani Tanksale, K K Raina, Ekavali Khanna, Anil Rastogi",[133]
133,NOV,28.0,Zid,Erotica/Thriller,Vivek Agnihotri,"Karanvir Sharma, Mannara Chopra, Shraddha Das",[134]
134,DEC,5.0,Action Jackson,Comedy/Action,Prabhu Deva,"Ajay Devgn, Sonakshi Sinha, Yami Gautam, Manasvi Mamgai, Kunaal Roy Kapur",[135]
135,DEC,5.0,Bhopal: A Prayer for Rain,Drama,Ravi Kumar,"Martin Sheen, Mischa Barton, Rajpal Yadav, Tannishtha Chatterjee, Akhil Mishra, Fagun Thakrar, Joy Sengupta, Kal Penn, Martin Brambach, David Brooks, Vineet Kumar, Satish Kaushik, Vasanth Santosham, Manoj Joshi",[136]
136,DEC,5.0,Mumbai Delhi Mumbai,Drama,Satish Rajwade,"Shiv Panditt, Piaa Bajpai",[137]
137,DEC,5.0,Sulemani Keeda,Social/Drama,Amit Masurkar,"Naveen Kasturia, Mayank Tewari, Aditi Vasudev",[138]
138,DEC,12.0,Badlapur Boys,Sports,Shailesh Verma,"Shashank Udapurkar, Annu Kapoor, Anupam Maanav, Kishori Shahane, Aman Verma, Saranya Mohan",[139][140]
139,DEC,12.0,Life Mein Twist Hai,Drama/Romance,Dinesh Soni,Shyam Avtar Kedia,[141]
140,DEC,12.0,LUV...Phir Kabhie,Drama,Ajay Yadav,"Saurabbh Roy, Arijita Roy, Meghna Patel, Narendra Bedi",[142][143]
141,DEC,12.0,Main Aur Mr. Riight,Comedy/Romance,Adeeb Rais,"Varun Khandelwal, Danny Saru, Shenaz Treasuryvala, Barun Sobti, Kavi Shastri, Maia Sethna, Anagha Mane, Neha Gosain",[144][145]
142,DEC,12.0,Objection My God,Comedy,Amit Khan,"Makrand Deshpande, Sanjay Mishra, Rajesh Khattar, Zarina Wahab",[146][147][148]
143,DEC,12.0,Room - The Mystery,Suspense/Thriller,Faizal Khan,"Atif Jamil, Ibra Khan, Roselyn Dsouza, Eshu Gambhir, Himir Gandhi, Rohit Juneja, Shashwita Sharma",[149][150]
144,DEC,19.0,PK,Comedy/Drama,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sushant Singh Rajput, Sanjay Dutt, Ram Sethi, Boman Irani",[113]
145,DEC,26.0,Ugly,Thriller,Anurag Kashyap,"Abir Goswami, Girish Kulkarni, Madhavi Singh, Ronit Roy, Anshikaa Shrivastava, Rahul Bhat, Tejaswini Kolhapure, Sandesh Jadhav",[151]
