,Opening,Opening.1,Title,Director,Cast,Production house,Ref.
64,AUG,31,Yamla Pagla Deewana: Phir Se,Navaniat Singh,DharmendraSunny DeolBobby DeolKriti Kharbanda,Pen India Limited,[93]
65,AUG,31,Stree,Amar Kaushik,Rajkummar RaoShraddha KapoorAparshakti KhuranaPankaj Tripathi,"Maddock Films, D2R Films",[94]
66,SEP,1,Once Again,Kanwal Sethi,Shefali ShahNeeraj Kabi,"Neufilm, JAR Pictures, Crawling Angel Films, Ascending Films, Netflix",[95][96]
67,SEP,7,Paltan,J. P. Dutta,Jackie ShroffSonu SoodArjun RampalGurmeet ChoudharySiddhanth KapoorHarshvardhan RaneLuv SinhaEsha GuptaMonica GillSonal ChauhanDipika KakarAditii Arya Sharma,"Zee Studios, J P Films",[97]
68,SEP,7,Laila Majnu,Sajid Ali,Mir SarwarAvinash TiwaryTripti DimriRuchika Kapoor,"Pi Films, Balaji Motion Pictures",[98]
69,SEP,7,Gali Guleiyan,Dipesh Jain,Manoj BajpayeeRanvir ShoreyNeeraj KabiShahana Goswami,PVR Pictures,[99]
70,SEP,7,Halkaa,Nila Madhab Panda,Ranvir ShoreyPaoli DamTathastuKumud Mishra,"Shiv Nadar Foundation, Akshay Parija Productions, Eleeanora Images",[100]
71,SEP,14,Manmarziyaan,Anurag Kashyap,Abhishek BachchanVicky KaushalTaapsee Pannu,"Eros International, Colour Yellow Productions, Phantom Films",
72,SEP,14,Love Sonia,Tabrez Noorani,Mrunal ThakurFreida PintoManoj BajpayeeRajkummar RaoRicha ChaddaAnupam KherAdil HussainSai Tamhankar,"Tamasha Talkies, Womark/Noorani Productions, Love Sonia Films, India Take One Productions",[101]
73,SEP,14,Mitron,Nitin Kakar,Jackky BhagnaniKritika KamraPratik GandhiNeeraj Sood,Abundantiya Entertainment,[102]
74,SEP,21,,,,,
75,SEP,21,Batti Gul Meter Chalu,Shree Narayan Singh,Shahid KapoorShraddha KapoorDivyendu SharmaYami Gautam,T-Series,[103]
76,SEP,21,Manto,Nandita Das,Nawazuddin SiddiquiTahir Raj BhasinRasika DugalRajshri Deshpande,Viacom 18 Motion Pictures,[104]
77,SEP,21,Ishqeria,Prerna Wadhawan,Neil Nitin MukeshRicha Chaddha,Swarp Films & Yen Movies,[105]
78,SEP,28,Sui Dhaaga,Sharat Katariya,Varun DhawanAnushka Sharma,Yash Raj Films,[106]
79,SEP,28,Pataakha,Vishal Bhardwaj,Sanya MalhotraSunil GroverRadhika Madan,"Kayta Productions, Vishal Bhardwaj Films",[107]
80,OCT,5,Loveyatri,Abhiraj Minawala,Aayush SharmaWarina Hussain,Salman Khan Films,[108][109][110]
81,OCT,5,Andhadhun,Sriram Raghavan,Ayushman KhuranaTabuRadhika Apte,Viacom 18 Motion Pictures,[111]
82,OCT,12,Jalebi,Pushpdeep Bhardwaj,Rhea ChakrabortyDigangana SuryavanshiVarun Mitra,Vishesh Films,[112]
