,Opening,Opening.1,Title,Genre,Director,Cast,Source
80,SEP,6.0,Zanjeer,"Action, Thriller",Apoorva Lakhia,"Ram Charan, Priyanka Chopra, Sanjay Dutt, Mahie Gill, Prakash Raj, Atul Kulkarni[81]",
81,SEP,6.0,Shuddh Desi Romance,Romance,Maneesh Sharma,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor, Rishi Kapoor[82]",
82,SEP,7.0,Siddharth,Drama,Richie Mehta,Rajesh Tailang,
83,SEP,13.0,Grand Masti,Adult Comedy,Indra Kumar,"Riteish Deshmukh, Vivek Oberoi, Aftab Shivdasani, Karishma Tanna, Manjari Phadnis, Bruna Abdullah, Kainaat Arora[83]",
84,SEP,13.0,John Day,Thriller,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda[84]",
85,SEP,13.0,Horror Story,Horror,Ayush Raina,"Karan Kundra, Nishant Malkani, Ravish Desai, Hasan Zaidi, Sheetal Singh, Aparna Bajpai, Radhika Menon, Nandini Vaid[85]",
86,SEP,20.0,Phata Poster Nikhla Hero,"Rom Com, Action",Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Parul Yadav, Padmini Kolhapure, Darshan Jariwala[86]",
87,SEP,20.0,The Lunchbox,Drama,Ritesh Batra,"Irrfan Khan, Nawazuddin Siddiqui, Bharati Achrekar[87]",
88,SEP,27.0,Warning,Thriller,Gurmmeet Singh,"Santosh Barmola, Suzana Rodrigues, Manjari Fadnis, Varun Sharma, Jitin Gulati, Sumit Suri, Madhurima Tuli[88]",
89,SEP,27.0,Maazii,Suspense Thriller,Jaideep Chopra,"Sumeet Nijhawan, Mona Wasu, Pankaj Tripathi, Mohd. Zeeshan Ayyub, Manish Chaudhary[89]",
90,SEP,27.0,Prague,"Psychological Thriller, Romance",Ashish R Shukla,"Chandan Roy Sanyal, Elena Kazan, Arfi Lamba, Kumar Mayank[90]",
91,SEP,27.0,Super Model,Drama,Navin Batra,"Veena Malik, Ashmit Patel, Jackie Shroff[91]",
92,OCT,2.0,Besharam,Comedy/Action,Abhinav Kashyap,"Ranbir Kapoor, Pallavi Sharda, Rishi Kapoor, Neetu Singh[92]",
93,OCT,11.0,War Chhod Na Yaar,War comedy,Faraz Haider,"Sharman Joshi, Javed Jaffrey, Soha Ali Khan, Sanjay Mishra[93]",
94,OCT,11.0,Baat Bann Gayi,Comedy,Shuja Ali,"Ali Fazal, Gulshan Grover, Anisa[94]",
95,OCT,11.0,Ek Thee Sanam,Drama,Monish Kaushal,"Nisha Triloki, Rajender Thakur, Gopal Thakur[95]",
96,OCT,11.0,Paapi - Ek Satya Katha,Crime,Aziz Sejawal,"Arya Babbar, Prosenjit Chatterjee, Sayantika Banerjee, Pooja Bharti, Rajesh Sharma, Harish Patel[96]",
97,OCT,16.0,Boss,Masala,Anthony D'Souza,"Akshay Kumar, Mithun Chakraborty, Danny Denzongpa, Ronit Roy, Aditi Rao Hydari, Shiv Panditt, Johny Lever[97]",
98,OCT,18.0,Shahid,Drama/Biography,Hansal Mehta,"Rajkummar Rao, Tigmanshu Dhulia, Kay Kay Menon, Prabal Panjabi[98]",
99,OCT,25.0,Wake Up India,Political/Drama,Babloo Seshadri,"Chirag Patil, Sai Tamhankar, Manoj Joshi, Aanjjan Srivastav, Mukesh Tiwari, Mohan Joshi, Milind Gunaji, Anant Jog, Adi Irani, Mushtaq Khan, Atul Parchure, Asrani, Anjula Singh Mahor[99]",
100,OCT,25.0,Amdavad Junction,Crime/Drama,Apurv Bajpai,"Rohan Jardosh, Saurabh Singh, Gunjan Vyas, Touqeer Khan, Ishita Salot, Devendra Trivedi, Hitesh Patel, Swapna Nair[100]",
101,OCT,25.0,Dilli Gang,Crime,Ashish Tyagi,"Darshan Jariwala, Neena Kulkarni, Yashpal Sharma, Amir Dalvi, Asif Basra, Asif Ali[101]",
102,OCT,25.0,Mickey Virus,Comedy/Thriller,Saurabh Varma,"Manish Paul, Elli Avram, Varun Badola, Manish Chaudhary, Puja Gupta[102]",
103,OCT,25.0,Ishk Actually,Romance,Anish Khanna,"Rajeev Khandelwal, Rayo Bakhirta, Neha Ahuja, Ann Mitchai, Neha Ghelot, Siddharth Van Shipley[103]",
104,OCT,25.0,Sooper Se Ooper,Comedy,Shekhar Ghosh,"Vir Das, Kirti Kulhari, Gulshan Grover, Deepak Dobriyal, Yashpal Sharma[104]",
105,NOV,1.0,Krrish 3,Superhero,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Kangana Ranaut, Vivek Oberoi[105]",
106,NOV,8.0,Satya 2,Crime,Ram Gopal Varma,"Puneet Singh Ratn, Anaika Soti,[106] Mahesh Thakur, Aradhna Gupta,[107][108] Raj Premi, Vikram Singh[109]",
