,Opening,Opening.1,Title,Director,Cast,Studio (production house),Ref.
38,MAY,1.0,Mrs. Serial Killer,Shirish Kunder,Jacqueline FernandezManoj BajpayeeMohit RainaZayn Marie,"Three's Company Productions Pvt.Ltd, Netflix",[53]
39,MAY,20.0,What Are the Odds,Megha Ramaswamy,Yashaswini DayamaKaranvir MalhotraAbhay Deol,"FilmKaravan, Netflix",[54]
40,MAY,22.0,Ghoomketu,Pushpendra Nath Misra,Nawazuddin SiddiquiRagini KhannaRicha ChadhaAnurag KashyapDeepika AminRaghuvir YadavIla ArunSwanand Kirkire,"Phantom Films, Sony Pictures, ZEE5",[55]
41,JUN,1.0,Chippa,Safdar Rehman,Sunny PawarJoyraj BhattacharyaSumeet ThakurGautam SarkarMasood AkhtarKalpan Mitra,"Traveling Light Pictures, Ultra Media & Entertainment, Victory Media, Wishberry Films",[56]
42,JUN,5.0,Chintu Ka Birthday,Devanshu KumarSatyanshu Singh,Vinay PathakTillotama ShomeNate Scholz,"Final Draft, ZEE5",[57]
43,JUN,5.0,Choked,Anurag Kashyap,Saiyami KherRoshan MathewAmruta SubhashRajshri Deshpande,"JAR Pictures, Good Bad Films, Netflix",[58]
44,JUN,12.0,Axone,Nicholas Kharkongor,Dolly AhluwaliaSayani GuptaTenzin DalhaVinay PathakLin LaishramAsenla JamirLanuakum Ao,"Saregama India, Yoodlee films",[59]
45,JUN,12.0,Gulabo Sitabo,Shoojit Sircar,Farrukh JaffarAmitabh BachchanAyushmann KhurranaVijay RaazBrijendra KalaNalneesh Neel,"Rising Sun Films, Kino Works, Prime Video",[60]
46,JUN,18.0,Kadakh,Rajat Kapoor,Kalki KoechlinRanvir ShoreyShruti SethManoj PahwaTara SharmaCyrus SahukarMansi Multani,"Mithya Talkies, Sony LIV",[61]
47,JUN,19.0,Chaman Bahaar,Apurva Dhar Badgaiyann,Jitendra KumarRitika Badiani,"Saregama India, Yoodlee films",[62]
48,JUN,24.0,Bulbbul,Anvita Dutt,Tripti DimriAvinash TiwaryRahul BoseParambrata ChatterjeePaoli Dam,"Clean Slate Films, Netflix",[63]
49,JUN,26.0,Bhonsle,Devashish Makhija,Manoj BajpayeeSantosh JuvekarIpshita Chakraborty SinghAbhishek Banerjee,"Muvizz, Sony LIV",[64]
50,JUN,27.0,Unlock,Debatma Mandal,Kushal TandonHina KhanRishabh SinhaAditi Arya,"Krasnaya Corporation, Wind Horse Films, ZEE5",[65]
51,JUL,16.0,Virgin Bhanupriya,Ajay Lohan,Urvashi RautelaGautam Gulati,"Dhariwal Films, ZEE5",[66]
52,JUL,24.0,Dil Bechara,Mukesh Chhabra,Sushant Singh RajputSanjana SanghiSaif Ali Khan,"Fox Star Studios, Disney+ Hotstar",[67]
53,JUL,30.0,Yaara,Tigmanshu Dhulia,Vidyut JammwalShruti HaasanAmit SadhVijay VarmaKenny Basumatary,"Tigmanshu Dhulia Films, Azure Entertainment, ZEE5",[68]
54,JUL,31.0,Shakuntala Devi,Anu Menon,Vidya BalanJisshu SenguptaSanya MalhotraAmit Sadh,"Abundantia Entertainment, Sony Pictures Networks India, A Genius Films Production, Prime Video",[69]
55,JUL,31.0,Lootcase,Rajesh Krishnan,Kunal KhemuRasika DugalVijay RaazRanvir ShoreyGajraj RaoAryan PrajapatiShashi RanjanSumit Nijhawan,"Fox Star Studios, Soda Films, Disney+ Hotstar",[70]
56,JUL,31.0,Raat Akeli Hai,Honey Trehan,Nawazuddin SiddiquiRadhika ApteShweta TripathiIla ArunShivani RaghuvanshiAditya SrivastavaTigmanshu DhuliaSwanand Kirkire,"RSVP Movies, Netflix",[71]
